id,qname,heading,text,type,diagram,website,updated
its-regulation-64,TunnelCategoryCode,TunnelCategoryCode,A code that indicates categories of tunnels that can affect the applicability of a regulation.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/TunnelCategoryCode.dot.svg,<html><body><a href='https://w3id.org/itsdata/regulation/v1/TunnelCategoryCode'>Web</a></body></html>,2026-08-26T17:28:28.846384
its-regulation-61,TrafficSignal,TrafficSignal,A traffic control device that is used to control traffic flow at intersections or pedestrian crossings using lights.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/TrafficSignal.dot.svg,<html><body><a href='https://w3id.org/itsdata/regulation/v1/TrafficSignal'>Web</a></body></html>,2026-08-26T17:28:28.846384
its-regulation-11,CodedRegulationWithThreshold,CodedRegulationWithThreshold,A restriction defined by a code coupled with a threshold value.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/CodedRegulationWithThreshold.dot.svg,<html><body><a href='https://w3id.org/itsdata/regulation/v1/CodedRegulationWithThreshold'>Web</a></body></html>,2026-08-26T17:28:28.846384
,CompositeEnforcementMethod,CompositeEnforcementMethod,A method of enforcing a traffic regulation that involves a combination of enforcement methods.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/CompositeEnforcementMethod.dot.svg,<html><body><a href='https://w3id.org/itsdata/regulation/v1/CompositeEnforcementMethod'>Web</a></body></html>,2026-08-26T17:28:28.846384
,LegalStatusCode,LegalStatusCode,A code that indicates the legal status of a traffic regulation.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/LegalStatusCode.dot.svg,<html><body><a href='https://w3id.org/itsdata/regulation/v1/LegalStatusCode'>Web</a></body></html>,2026-08-26T17:28:28.846384
its-regulation-36,PermitRequiredCondition,PermitRequiredCondition,A condition that is based on the possession of a permit.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/PermitRequiredCondition.dot.svg,<html><body><a href='https://w3id.org/itsdata/regulation/v1/PermitRequiredCondition'>Web</a></body></html>,2026-08-26T17:28:28.846384
,FinancialEnforcementMethod,FinancialEnforcementMethod,A method of enforcing a traffic regulation that involves a financial penalty.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/FinancialEnforcementMethod.dot.svg,<html><body><a href='https://w3id.org/itsdata/regulation/v1/FinancialEnforcementMethod'>Web</a></body></html>,2026-08-26T17:28:28.846384
its-regulation-26,MeasurableConditionCode,MeasurableConditionCode,"A code that indicates the type of measurable condition that is assessed, including both the type of measure and the type of entity being measured.",Class,https://w3id.org/itsdata/regulation/v1/diagrams/MeasurableConditionCode.dot.svg,<html><body><a href='https://w3id.org/itsdata/regulation/v1/MeasurableConditionCode'>Web</a></body></html>,2026-08-26T17:28:28.846384
its-regulation-21,InternationalSign,InternationalSign,"A traffic control device that is used to convey information to road users, such as regulatory, warning, or guide signs.",Class,https://w3id.org/itsdata/regulation/v1/diagrams/InternationalSign.dot.svg,<html><body><a href='https://w3id.org/itsdata/regulation/v1/InternationalSign'>Web</a></body></html>,2026-08-26T17:28:28.846384
its-regulation-54,TextComposite,TextComposite,An attribute that consists of text (multi-lingual string) on the default area of the main pictogram.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/TextComposite.dot.svg,<html><body><a href='https://w3id.org/itsdata/regulation/v1/TextComposite'>Web</a></body></html>,2026-08-26T17:28:28.846384
